Calculator Type,JID,Surface,Surface Energy (J/m^2)
sevennet,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 0, 1]",1.690493642
alignn_ff,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 0, 1]",2.676244106
chgnet,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 0, 1]",1.140796965
mace,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 0, 1]",1.373613444
matgl,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 0, 1]",1.295544477
JARVIS,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 0, 1]",2.22
sevennet,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 1, 0]",1.690727048
alignn_ff,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 1, 0]",2.676258127
chgnet,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 1, 0]",1.140796965
mace,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 1, 0]",1.373613444
matgl,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 1, 0]",1.290457357
sevennet,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 1, 1]",0.995970942
alignn_ff,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 1, 1]",1.522997631
chgnet,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 1, 1]",0.511054863
mace,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 1, 1]",0.954239196
matgl,JVASP-1002,"surface_energy for JVASP-1002 with indices [0, 1, 1]",0.477653033
sevennet,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 0, 0]",1.690721093
alignn_ff,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 0, 0]",2.676246164
chgnet,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 0, 0]",1.140796965
mace,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 0, 0]",1.373613444
matgl,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 0, 0]",1.296516525
sevennet,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 1, 0]",0.995970942
alignn_ff,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 1, 0]",1.523000447
