Calculator Type,JID,Formation Energy (eV/atom),Volume (Angstrom^3),Bulk Modulus (GPa),a (Angstrom),b (Angstrom),c (Angstrom),C11 (GPa),C12 (GPa),C44 (GPa)
alignn_ff,JVASP-1002,-0.021593612,143.6142206,210.2567762,5.25787,5.25787,5.25787,3.099903116,1.115056587,1.716696249
chgnet,JVASP-1002,-0.001367152,163.7058827,128.2569118,5.461,5.461,5.461,120.5435366,53.84784417,54.38591298
mace,JVASP-1002,-0.001193392,162.4157856,146.7805103,5.45431,5.45431,5.45431,102.9235403,60.9050685,51.43551205
sevennet,JVASP-1002,-0.000594453,162.927849,170.1560387,5.46411,5.46411,5.46411,147.1202702,68.84723411,77.7936633
matgl,JVASP-1002,0.000185265,162.8840725,163.4158185,5.45667,5.45667,5.45667,15257.85756,12910.97619,9608.843833
JARVIS,JVASP-1002,0,165.7975918,87.27,5.49363,5.49363,5.49363,150,55.9,74.1
chgnet,JVASP-1029,-0.000460042,52.01675834,74.54138078,4.604447,4.604447,2.83318,79.31348037,64.63887323,1.587962727
mace,JVASP-1029,-0.000158264,51.80145476,89.97175147,4.672394,4.672394,2.73942,123.0687469,77.60469631,9.200600078
sevennet,JVASP-1029,-4.38E-05,51.27328263,99.36215118,4.558956,4.558956,2.85028,110.7440846,76.49810195,14.80610072
alignn_ff,JVASP-1029,-0.026607216,36.8453519,250.5514914,4.003726,4.003726,2.4887,60.32314748,25.57334536,-5.43264696
matgl,JVASP-1029,0.000505323,51.8084906,102.7650945,4.579228,4.579228,2.84251,19913.87259,14814.86716,2201.37992
JARVIS,JVASP-1029,0,50.49232631,115.17,4.546841,4.546841,2.82017,191.4,90.9,50.3
mace,JVASP-105410,0.013131214,176.7629599,113.9484834,5.61442,5.61442,5.61442,71.33328087,47.58888367,34.90661189
chgnet,JVASP-105410,-0.03307028,176.5374166,142.2521657,5.6139,5.6139,5.6139,55.48855309,44.18904185,23.0521753
sevennet,JVASP-105410,-0.010844274,174.7417739,162.5506064,5.59599,5.59599,5.59599,115.2373753,58.57759217,58.7729894
matgl,JVASP-105410,0.022512142,176.2220881,115.8669166,5.56882,5.56881,5.56879,11838.20181,11211.59972,0.006472685
alignn_ff,JVASP-105410,0.044121388,155.2393656,123.9718363,5.45188,5.45188,5.45188,1.228116509,0.176246378,0.553013197
JARVIS,JVASP-105410,0.01025,174.9197892,74.47,5.59259,5.59259,5.59259,130.6,46.8,66
alignn_ff,JVASP-107,0.171731262,75.11027337,223.0843885,2.819561,2.819547,9.83106,8.563198629,7.94623508,0.203744008
chgnet,JVASP-107,-0.276766133,83.82872773,437.4375774,3.095718,3.095718,10.11512,327.1627452,156.3060255,53.39513675
mace,JVASP-107,-0.255532572,84.17300329,445.6571253,3.095046,3.095046,10.12087,438.0588782,121.0265648,115.1007066
sevennet,JVASP-107,-0.211482909,83.91120905,519.0636455,3.09432,3.09432,10.12562,448.554505,115.6959545,121.2186522
matgl,JVASP-107,-0.236327515,84.42833706,349.5646516,3.101721,3.101721,10.14074,51669.68056,26265.78486,9316.466591
JARVIS,JVASP-107,-0.24337,84.47390973,213.34,3.099795,3.099795,10.15139,490.6,103.2,193.7
mace,JVASP-113,-3.254997242,146.7727231,389.9451011,5.221535,5.27818,5.396155,379.7197243,179.3666767,88.2678874
matgl,JVASP-113,-3.380522207,146.1801237,307.6433342,5.239251,5.29692,5.35332,39706.62351,33092.23993,3745.823032
chgnet,JVASP-113,-3.809173871,146.7661421,371.1719303,5.22552,5.28274,5.388192,314.7387067,159.8651021,76.84911918
sevennet,JVASP-113,-3.358958244,146.5745662,381.70329,5.208917,5.29069,5.385709,364.6554108,166.7088821,89.14436937
alignn_ff,JVASP-113,-2.249489596,115.2548282,317.6336015,5.122323,4.587,4.760609,17.84498362,5.56993713,7.061937832
JARVIS,JVASP-113,-3.70068,143.5108344,187.44,5.17336,5.26057,5.343333,389.8,164.9,127.2
matgl,JVASP-1174,-0.352393871,191.0355624,98.64746942,5.75066,5.75066,5.75066,10086.34888,8386.974561,3371.410092
mace,JVASP-1174,-0.333626374,188.9372676,103.8487192,5.73966,5.73966,5.73966,69.52284063,42.3776982,44.34219577
chgnet,JVASP-1174,-0.247409636,190.0085624,85.60233749,5.74254,5.74254,5.74254,31.67971574,22.26319693,10.34952785
sevennet,JVASP-1174,-0.344608975,190.2134733,113.0577505,5.75167,5.75167,5.75167,85.2206502,44.81143873,47.53861457
alignn_ff,JVASP-1174,-0.181840645,177.5113857,57.83814547,5.66347,5.66347,5.66347,2.425861302,0.320932562,2.536602577
JARVIS,JVASP-1174,-0.33458,188.2931156,61.93,5.73163,5.73163,5.73163,100,42.9,51.5
mace,JVASP-1177,-0.140558293,240.6106835,76.93774502,6.22168,6.22168,6.22168,48.66412575,35.33174974,30.86670209
chgnet,JVASP-1177,-0.21047567,237.5659977,74.21856116,6.21441,6.21441,6.21441,38.35556567,31.64286515,16.09696737
sevennet,JVASP-1177,-0.137576903,240.1914956,81.35476576,6.21637,6.21637,6.21637,58.80775989,32.75531625,32.680445
